flight_id,origin,destination,departure_datetime,arrival_datetime,price

# Valid flights
UA820,JFK,FRA,2025-12-01 14:20,2025-12-02 03:45,620.50
SK144,ARN,CPH,2025-12-05 09:10,2025-12-05 10:15,88.99
BT509,RIX,AMS,2025-12-03 07:00,2025-12-03 08:40,150.00
LH401,FRA,JFK,2025-12-10 10:00,2025-12-10 13:00,499.00
AY712,HEL,OSL,2025-12-04 11:50,2025-12-04 12:40,120.40
TK1590,IST,RIX,2025-12-02 18:00,2025-12-02 20:35,210.00

# Invalid flights
WRONGLINE_TOO_FEW_FIELDS
BA,,LHR,2025-12-03 12:00,2025-12-03 14:00,200
OSL123,OSL,RIX,INVALID,2025-12-05 10:20,95.00
QR8888,DOH,SYD,2025-12-01 22:00,2025-12-01 15:00,800.00
DP12,MOW,RIX,2025-12-03 09:00,2025-12-03 13:00,-55.10
AAA111111,HEL,RIX,2025-12-06 05:00,2025-12-06 07:30,180.00
